School Name,Latitude,Longitude,LGA
Cranbourne Carlisle Primary School,-38.08753,145.28906,Casey (C)
Cranbourne East Primary School,-38.10628,145.30444,Casey (C)
Cranbourne Park Primary School,-38.10406,145.27775,Casey (C)
Cranbourne Primary School,-38.11186,145.28785,Casey (C)
Cranbourne South Primary School,-38.14794,145.24506,Casey (C)
Cranbourne West Primary School,-38.10271,145.26772,Casey (C)
Creswick North Primary School,-37.40884,143.89082,Hepburn (S)
Creswick Primary School,-37.42411,143.89156,Hepburn (S)
Crib Point Primary School,-38.36048,145.20054,Mornington Peninsula (S)
Croydon Hills Primary School,-37.77668,145.27204,Maroondah (C)
Croydon Primary School,-37.79317,145.28132,Maroondah (C)
Cudgee Primary School,-38.34794,142.65084,Moyne (S)
Dallas Brooks Community Primary School,-37.6703,144.94185,Hume (C)
Dandenong North Primary School,-37.97664,145.21447,Greater Dandenong (C)
Dandenong Primary School,-37.98792,145.21982,Greater Dandenong (C)
Dandenong Ranges Steiner School,-37.95976,145.38821,Cardinia (S)
Dandenong South Primary School,-37.99895,145.21143,Greater Dandenong (C)
Dandenong West Primary School,-37.98074,145.20042,Greater Dandenong (C)
Darley Primary School,-37.65528,144.43691,Moorabool (S)
Darnum Primary School,-38.18773,145.9997,Baw Baw (S)
Darraweit Guim Primary School,-37.40103,144.89357,Macedon Ranges (S)
Dartmoor Primary School,-37.92302,141.27673,Glenelg (S)
Davis Creek Primary School,-37.85588,144.66024,Wyndham (C)
Daylesford Dharma School,-37.34233,144.16595,Hepburn (S)
Daylesford Primary School,-37.3451,144.14156,Hepburn (S)
Deans Marsh Primary School,-38.39988,143.88575,Surf Coast (S)
Deanside Primary School,-37.72176,144.69701,Melton (C)
Debney Meadows Primary School,-37.78598,144.93515,Moonee Valley (C)
Dederang Primary School,-36.46925,147.01531,Alpine (S)
Deepdene Primary School,-37.80837,145.06136,Boroondara (C)
Deer Park North Primary School,-37.75614,144.77403,Brimbank (C)
Deer Park West Primary School,-37.772,144.76444,Brimbank (C)
Delacombe Primary School,-37.58478,143.81853,Ballarat (C)
Derinya Primary School,-38.17444,145.12094,Frankston (C)
Derrimut Primary School,-37.78927,144.7632,Brimbank (C)
Deutsche Schule Melbourne,-37.77883,144.98277,Yarra (C)
Devon Meadows Primary School,-38.16203,145.30138,Casey (C)
Dhurringile Primary School,-36.5432,145.23979,Greater Shepparton (C)
Diamond Creek East Primary School,-37.67419,145.1656,Nillumbik (S)
Diamond Creek Primary School,-37.67185,145.15165,Nillumbik (S)
Diggers Rest Primary School,-37.62263,144.70923,Melton (C)
Dimboola Primary School,-36.45336,142.0304,Hindmarsh (S)
Dingley Primary School,-37.9826,145.1325,Kingston (C)
Dinjerra Primary School,-37.79169,144.85612,Maribyrnong (C)
Docklands Primary School,-37.81271,144.94055,Melbourne (C)
Don Bosco School,-38.02597,145.31501,Casey (C)
Don Valley Primary School,-37.7602,145.58741,Yarra Ranges (S)
Donald Primary School,-36.36721,142.98463,Buloke (S)
Donburn Primary School,-37.78746,145.16552,Manningham (C)
Doncaster Gardens Primary School,-37.78161,145.1479,Manningham (C)
Doncaster Primary School,-37.7868,145.12967,Manningham (C)
Donnybrook Primary School,-37.53707,144.99775,Whittlesea (C)
Donvale Primary School,-37.80041,145.17378,Manningham (C)
Dookie Primary School,-36.33107,145.68279,Greater Shepparton (C)
Doreen Primary School,-37.60601,145.14554,Nillumbik (S)
Dorset Primary School,-37.81008,145.28575,Maroondah (C)
Dromana Primary School,-38.33964,144.95965,Mornington Peninsula (S)
Drouin Primary School,-38.13286,145.85384,Baw Baw (S)
Drouin South Primary School,-38.17057,145.82682,Baw Baw (S)
Drouin West Primary School,-38.08711,145.87172,Baw Baw (S)
Drysdale Primary School,-38.16916,144.57175,Greater Geelong (C)
Dunkeld Consolidated School,-37.63898,142.34037,Southern Grampians (S)
Dunolly Primary School,-36.85155,143.73358,Central Goldfields (S)
Eagle Point Primary School,-37.89245,147.68022,East Gippsland (S)
Eaglehawk North Primary School,-36.70707,144.23727,Greater Bendigo (C)
Eaglehawk Primary School,-36.72058,144.25426,Greater Bendigo (C)
East Bentleigh Primary School,-37.93451,145.06942,Glen Eira (C)
Eastbourne Primary School,-38.37376,144.8835,Mornington Peninsula (S)
Eastwood Primary School,-37.81724,145.25295,Maroondah (C)
Echuca East Primary School,-36.13405,144.76111,Campaspe (S)
Echuca Primary School,-36.1282,144.74746,Campaspe (S)
Echuca Twin Rivers Primary School,-36.13772,144.72467,Campaspe (S)
Edgars Creek Primary School,-37.60984,145.00257,Whittlesea (C)
Edi Upper Primary School,-36.70647,146.44881,Wangaratta (RC)
Edithvale Primary School,-38.03749,145.11297,Kingston (C)
Eildon Primary School,-37.23397,145.90676,Murrindindi (S)
Elliminyt Primary School,-38.36135,143.5837,Colac-Otway (S)
Ellinbank Primary School,-38.24023,145.93563,Baw Baw (S)
Elmore Primary School,-36.4972,144.60891,Greater Bendigo (C)
Elphinstone Primary School,-37.105,144.3329,Mount Alexander (S)
Elsternwick Primary School,-37.89142,144.99729,Bayside (C)
Eltham East Primary School,-37.71143,145.15486,Nillumbik (S)
Eltham North Primary School,-37.70011,145.15087,Nillumbik (S)
Eltham Primary School,-37.72498,145.1478,Nillumbik (S)
Elwood Primary School,-37.8815,144.98836,Port Phillip (C)
Emerald Primary School,-37.93338,145.44243,Cardinia (S)
Emmaus Catholic Primary School,-37.7003,144.77224,Brimbank (C)
Emmaus Catholic Primary School,-37.61258,143.87158,Ballarat (C)
Eppalock Primary School,-36.84177,144.38773,Greater Bendigo (C)
Epping Primary School,-37.64485,145.02559,Whittlesea (C)
Epping Views Primary School,-37.62844,145.02402,Whittlesea (C)
Epsom Primary School,-36.70505,144.31269,Greater Bendigo (C)
Erasmus Primary School,-37.82708,145.03133,Boroondara (C)
Eskdale Primary School,-36.46527,147.25125,Towong (S)
Essendon North Primary School,-37.74152,144.90319,Moonee Valley (C)
Essendon Primary School,-37.7531,144.92104,Moonee Valley (C)
Essex Heights Primary School,-37.86299,145.11564,Monash (C)
Euroa Primary School,-36.75596,145.57208,Strathbogie (S)
Everton Primary School,-36.43532,146.54454,Wangaratta (RC)
Exford Primary School,-37.74529,144.55879,Melton (C)
Eynesbury Primary School,-37.78994,144.54755,Melton (C)
Fairfield Primary School,-37.77799,145.0204,Darebin (C)
Fairhills Primary School,-37.8696,145.2648,Knox (C)
Falls Creek Primary School,-36.86431,147.27976,Unincorporated Vic
Fawkner Primary School,-37.71524,144.97476,Merri-bek (C)
Ferntree Gully North Primary School,-37.87479,145.29942,Knox (C)
Ferny Creek Primary School,-37.88421,145.33473,Yarra Ranges (S)
Findon Primary School,-37.6665,145.05107,Whittlesea (C)
Fish Creek and District Primary School,-38.69475,146.08442,South Gippsland (S)
Fitra Community School,-37.94484,145.13932,Kingston (C)
Fitzroy Community School,-37.78917,144.97981,Yarra (C)
Fitzroy North Primary School,-37.78502,144.98415,Yarra (C)
Fitzroy Primary School,-37.7996,144.98151,Yarra (C)
Fleetwood Primary School,-38.0393,145.3181,Casey (C)
Flemington Primary School,-37.78067,144.93392,Moonee Valley (C)
Flowerdale Primary School,-37.31692,145.29136,Murrindindi (S)
Footscray City Primary School,-37.8064,144.90025,Maribyrnong (C)
Footscray North Primary School,-37.78775,144.88337,Maribyrnong (C)
Footscray Primary School,-37.79838,144.89267,Maribyrnong (C)
Footscray West Primary School,-37.79487,144.87527,Maribyrnong (C)
Forest Street Primary School,-37.52319,143.83543,Ballarat (C)
Forrest Primary School,-38.51629,143.71442,Colac-Otway (S)
Foster Primary School,-38.65734,146.202,South Gippsland (S)
Fountain Gate Primary School,-38.00942,145.2952,Casey (C)
Frankston East Primary School,-38.14663,145.14553,Frankston (C)
Frankston Heights Primary School,-38.16181,145.14717,Frankston (C)
Frankston Primary School,-38.14756,145.12403,Frankston (C)
Freshwater Creek Steiner School,-38.26332,144.27974,Surf Coast (S)
Fyans Park Primary School,-38.1538,144.32686,Greater Geelong (C)
Gaayip-Yagila Primary School,-37.52861,144.90909,Hume (C)
Galilee Regional Catholic Primary School,-37.83616,144.95481,Port Phillip (C)
Gardenvale Primary School,-37.90468,145.01503,Bayside (C)
Garfield Primary School,-38.09056,145.67415,Cardinia (S)
Garrang Wilam Primary School,-37.82878,144.72505,Wyndham (C)
Geelong East Primary School,-38.17551,144.38277,Greater Geelong (C)
Geelong South Primary School,-38.15694,144.35857,Greater Geelong (C)
Gembrook Primary School,-37.95164,145.54532,Cardinia (S)
George Street Primary School - Hamilton,-37.74662,142.0344,Southern Grampians (S)
Ghilgai School,-37.82914,145.31893,Yarra Ranges (S)
Gilgai Plains Primary School,-37.53243,144.95825,Hume (C)
Girgarre Primary School,-36.39811,144.97376,Campaspe (S)
Gisborne Primary School,-37.49086,144.58844,Macedon Ranges (S)
Gladesville Primary School,-37.8111,145.32291,Yarra Ranges (S)
Gladstone Park Primary School,-37.68715,144.88658,Hume (C)
Gladstone Views Primary School,-37.68901,144.89837,Hume (C)
Gladysdale Primary School,-37.82025,145.65099,Yarra Ranges (S)
Glen Huntly Primary School,-37.89377,145.04623,Glen Eira (C)
Glen Iris Primary School,-37.86048,145.06589,Boroondara (C)
Glen Katherine Primary School,-37.68998,145.13984,Banyule (C)
Glen Park Primary School,-37.52478,143.9348,Moorabool (S)
Glen Waverley Primary School,-37.87472,145.16759,Monash (C)
Glen Waverley South Primary School,-37.89686,145.16761,Monash (C)
Glendal Primary School,-37.86708,145.15904,Monash (C)
Glenferrie Primary School,-37.82405,145.03397,Boroondara (C)
Glengala Primary School,-37.79899,144.81407,Brimbank (C)
Glengarry Primary School,-38.12758,146.57134,Latrobe (C)
Glenrowan Primary School,-36.46019,146.22234,Wangaratta (RC)
Glenroy Central Primary School,-37.70428,144.92504,Merri-bek (C)
Glenroy West Primary School,-37.70496,144.90829,Merri-bek (C)
Glowrey Catholic Primary School,-37.61582,145.03178,Whittlesea (C)
Golden Square Primary School,-36.7706,144.2573,Greater Bendigo (C)
Good Samaritan Catholic Primary School,-37.62344,144.93432,Hume (C)
Good Shepherd Lutheran Primary School,-37.78268,145.26862,Maroondah (C)
Good Shepherd School,-37.90812,145.16605,Monash (C)
Goonawarra Primary School,-37.58052,144.75105,Hume (C)
Goornong Primary School,-36.617,144.50468,Greater Bendigo (C)
Gordon Primary School,-37.58385,144.10505,Moorabool (S)
Gormandale And District Primary School,-38.29418,146.70321,Wellington (S)
Gowrie Street Primary School Shepparton,-36.3668,145.39635,Greater Shepparton (C)
Grahamvale Primary School,-36.3572,145.43072,Greater Shepparton (C)
